54.62,0,0,0,0,0
56.76,54.62,0,0,0,0
55.07,56.76,54.62,0,0,0
55.35,55.07,56.76,54.62,0,0
55.36,54.62,56.76,55.07,55.35,0
55.09,55.36,55.35,55.07,56.76,54.62
55.09,55.09,55.36,55.35,55.07,56.76
54.46,55.09,55.09,55.36,55.35,55.07
54.42,54.46,55.09,55.09,55.36,55.35
53.46,54.42,54.46,55.09,55.09,55.36
53.17,53.46,54.42,54.46,55.09,55.09
53.17,53.17,53.46,54.42,54.46,55.09
54.55,53.17,53.17,53.46,54.42,54.46
54.58,54.55,53.17,53.17,53.46,54.42
54.55,54.58,54.55,53.17,53.17,53.46
54.63,54.55,54.58,54.55,53.17,53.17
54.63,54.63,54.55,54.58,54.55,53.17
55.44,54.63,54.63,54.55,54.58,54.55
55.5,55.44,54.63,54.63,54.55,54.58
55.4,55.5,55.44,54.63,54.63,54.55
56.08,55.4,55.5,55.44,54.63,54.63
56.55,56.08,55.4,55.5,55.44,54.63
56.55,56.55,56.08,55.4,55.5,55.44
57.37,56.55,56.55,56.08,55.4,55.5
57.44,57.37,56.55,56.55,56.08,55.4
57.35,57.44,57.37,56.55,56.55,56.08
57.51,57.35,57.44,57.37,56.55,56.55
57.9,57.51,57.35,57.44,57.37,56.55
57.9,57.9,57.51,57.35,57.44,57.37
58.12,57.9,57.9,57.51,57.35,57.44
58.11,58.12,57.9,57.9,57.51,57.35
58.42,58.11,58.12,57.9,57.9,57.51
58.51,58.42,58.11,58.12,57.9,57.9
58.21,58.51,58.42,58.11,58.12,57.9
58.21,58.21,58.51,58.42,58.11,58.12
58.06,58.21,58.21,58.51,58.42,58.11
58.24,58.06,58.21,58.21,58.51,58.42
57.07,58.24,58.06,58.21,58.21,58.51
57.25,57.07,58.24,58.06,58.21,58.21
56.54,57.25,57.07,58.24,58.06,58.21
56.54,56.54,57.25,57.07,58.24,58.06
55.59,56.54,56.54,57.25,57.07,58.24
57.26,55.59,56.54,56.54,57.25,57.07
56.9,57.26,55.59,56.54,56.54,57.25
56.83,56.9,57.26,55.59,56.54,56.54
56.16,56.83,56.9,57.26,55.59,56.54
56.16,56.16,56.83,56.9,57.26,55.59
56.31,56.16,56.16,56.83,56.9,57.26
56.85,56.31,56.16,56.16,56.83,56.9
57.05,56.85,56.31,56.16,56.16,56.83
57.83,57.05,56.85,56.31,56.16,56.16
57.83,57.83,57.05,56.85,56.31,56.16
57.02,57.83,57.83,57.05,56.85,56.31
56.64,57.02,57.83,57.83,57.05,56.85
55.7,56.64,57.02,57.83,57.83,57.05
55.53,55.7,56.64,57.02,57.83,57.83
55.38,55.53,55.7,56.64,57.02,57.83
55.38,55.38,55.53,55.7,56.64,57.02
54.4,55.38,55.38,55.53,55.7,56.64
54.22,54.4,55.38,55.38,55.53,55.7
54.61,54.22,54.4,55.38,55.38,55.53
55.02,54.61,54.22,54.4,55.38,55.38
55.02,55.02,54.61,54.22,54.4,55.38
55.29,55.02,55.02,54.61,54.22,54.4
55.66,55.29,55.02,55.02,54.61,54.22
55.88,55.66,55.29,55.02,55.02,54.61
56,55.88,55.66,55.29,55.02,55.02
